CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
88075;4977;10201;21320;44,1;12,9;s;15,2;17,5;13,5;9,3;s;7,6;28,6;60,8;53,0;3,2;4,6;40,4;7,1;4,5;1,6;2,1;0,8;-12,8;12950;34100;2,6
88078;6880;14945;21070;43,1;14,6;s;17,8;15,4;14,5;12,5;s;8,7;32,6;66,9;59,4;2,7;4,8;33,2;6,9;5,6;2,0;2,6;1,0;-12,6;12540;33360;2,7
88090;8265;18543;22320;47,6;12,6;22,8;13,4;12,0;13,0;10,8;s;6,1;29,9;73,4;66,2;2,4;4,8;28,0;6,7;5,5;2,1;2,4;1,0;-13,6;13020;35070;2,7
88114;5212;11133;21690;48,3;15,1;s;20,8;17,9;13,2;11,4;s;8,9;31,8;66,4;58,2;2,7;5,5;34,7;6,2;5,9;1,9;2,9;1,1;-13,2;12180;34130;2,8
88160;39998;84208;22040;49,5;15,8;27,8;19,2;18,6;15,2;10,4;9,4;5,4;33,6;69,7;62,0;2,6;5,1;31,1;8,0;6,4;2,0;3,1;1,3;-15,2;11860;37050;3,1
88181;5455;11299;21120;44,9;14,7;s;17,7;16,1;15,2;11,6;s;8,6;30,3;65,1;57,0;3,6;4,5;35,8;6,0;5,5;1,9;2,6;1,0;-12,4;12510;32350;2,6
88196;5668;11164;22790;50,2;12,3;s;17,6;13,8;12,9;9,2;s;5,3;27,3;60,2;52,0;2,6;5,6;39,9;10,7;4,0;1,2;1,9;0,9;-14,8;13030;38360;2,9
88304;8032;17534;22120;48,7;13,6;23,7;17,5;14,7;11,8;10,5;s;6,9;32,1;67,9;59,8;2,2;5,9;31,9;8,4;5,6;2,0;2,5;1,1;-13,8;12490;34680;2,8
88321;14395;30324;21360;44,0;15,5;21,3;19,1;17,6;13,6;12,8;13,0;9,4;33,3;65,7;56,9;2,3;6,5;35,2;7,0;5,5;1,8;2,7;1,0;-13,4;12250;34240;2,8
88367;5827;13112;21080;41,9;17,9;28,0;23,9;20,9;14,7;13,7;s;8,9;41,0;66,9;58,3;2,8;5,8;31,4;7,6;7,0;2,6;3,1;1,3;-12,9;11510;34030;3,0
88372;10991;22699;20600;40,9;17,4;29,2;21,2;21,4;17,2;12,5;11,3;9,3;36,7;62,7;55,3;3,1;4,3;36,6;6,0;6,9;2,0;3,5;1,4;-12,2;11690;32460;2,8
88383;17068;35955;22400;49,1;12,6;16,8;15,0;14,3;12,9;9,2;9,8;5,5;28,6;67,0;60,3;2,6;4,1;32,6;9,8;5,0;1,7;2,3;1,0;-14,4;12910;36200;2,8
88408;2001;4197;20410;38,0;15,9;s;s;s;s;s;s;10,5;32,8;63,4;56,4;2,7;4,3;36,0;6,9;5,8;2,0;2,7;1,1;-12,1;11980;31430;2,6
88413;18465;38466;21000;44,7;17,8;29,1;24,3;21,4;17,2;12,7;9,8;7,2;36,7;64,3;55,9;3,4;5,0;35,3;7,8;6,6;1,9;3,3;1,4;-14,0;11420;35470;3,1
88468;5877;12025;20450;39,7;15,9;s;19,6;20,3;15,1;14,0;s;9,6;33,4;59,6;52,4;3,0;4,2;39,7;7,6;5,4;1,7;2,6;1,1;-12,3;12080;32390;2,7
88486;3212;6938;22330;47,1;11,2;s;s;s;s;s;s;7,1;25,1;65,6;58,8;2,4;4,4;34,7;8,7;4,1;1,7;1,7;0,7;-13,1;13340;34890;2,6
88487;1967;4018;20800;40,6;15,9;s;s;s;s;s;s;9,3;36,5;59,4;52,3;2,2;4,9;40,3;7,8;4,9;1,7;2,3;0,9;-12,4;11790;32890;2,8
88516;4302;8539;24020;55,7;10,0;s;s;s;s;s;s;5,0;23,5;66,2;58,4;2,3;5,5;37,3;8,7;3,8;1,2;1,8;0,8;-16,0;13840;38830;2,8
88530;4297;8999;20170;39,3;19,0;s;20,6;23,3;19,4;16,5;s;12,6;39,2;60,8;52,3;3,4;5,1;38,4;6,9;6,0;2,1;2,8;1,1;-12,1;11130;32180;2,9
89003;3935;8724;23190;52,3;10,0;s;s;11,0;s;s;s;7,1;24,8;69,9;62,2;2,3;5,4;32,8;7,4;4,2;1,8;1,8;0,6;-14,3;13830;36540;2,6
89024;37865;79318;22680;53,4;13,7;19,2;15,8;16,6;14,6;9,6;8,6;5,6;29,0;67,9;59,9;2,4;5,6;33,7;8,2;5,8;1,9;2,8;1,1;-15,6;12640;37310;3,0
89025;11824;23782;21740;47,3;14,6;17,6;18,3;17,4;15,1;12,3;9,9;9,0;29,2;61,5;52,2;2,3;7,0;38,2;8,6;5,6;1,7;2,9;1,0;-13,9;12290;35760;2,9
89068;3602;7860;24300;57,0;10,3;s;s;12,6;s;s;s;6,2;23,1;73,8;54,8;1,9;17,1;25,3;14,9;3,8;1,5;1,7;0,6;-17,8;13760;43950;3,2
89086;6007;12223;21310;47,9;16,3;s;22,2;20,8;16,1;11,5;s;10,4;32,9;59,0;49,0;3,1;6,9;41,1;8,2;5,4;1,8;2,7;0,9;-13,7;11750;34320;2,9
89206;6777;14530;20620;44,9;20,9;28,3;29,3;26,1;21,1;13,8;s;8,4;42,1;63,0;54,7;3,2;5,1;35,1;7,6;7,8;2,5;3,7;1,6;-13,5;10600;34990;3,3
89257;9129;20167;20620;45,5;18,1;22,4;25,2;20,4;19,0;12,6;9,4;9,1;38,4;64,3;58,2;3,0;3,1;34,8;5,4;7,7;2,7;3,6;1,4;-12,2;11650;32060;2,8
89309;6094;14255;22840;53,5;10,8;s;12,5;13,7;10,1;7,5;s;7,7;24,6;72,2;64,4;2,9;4,9;31,6;5,7;4,8;2,3;1,8;0,7;-14,3;13460;35320;2,6
89345;9420;20526;21210;46,1;15,1;22,3;18,9;17,7;14,9;11,4;10,8;9,1;34,8;63,1;54,8;2,6;5,7;36,8;7,1;5,9;2,1;2,8;1,0;-12,9;12340;33450;2,7
89368;1758;3513;20380;42,7;19,3;s;s;s;s;s;s;14,1;40,5;52,8;40,1;3,2;9,5;45,0;8,9;5,8;1,7;3,2;0,9;-12,5;10790;34000;3,2
89387;30534;67657;21630;50,8;16,6;22,3;22,6;20,0;16,3;11,0;8,3;6,9;33,9;67,6;59,6;2,9;5,1;32,9;7,7;6,6;2,4;3,0;1,2;-14,8;11670;36060;3,1
89418;7717;15388;21210;44,8;17,0;30,2;23,2;17,7;19,3;12,9;11,2;9,8;35,6;58,9;48,2;2,5;8,2;39,5;8,8;6,4;1,8;3,4;1,2;-13,6;11630;35030;3,0
89419;7045;14408;21780;47,2;14,5;s;16,9;16,9;16,5;11,5;s;9,5;31,9;61,4;52,3;2,5;6,6;39,4;7,9;5,0;1,7;2,5;0,8;-13,7;12540;35320;2,8
89464;7490;16091;22520;52,7;12,0;s;13,4;13,3;11,7;9,4;s;6,7;29,5;68,9;61,9;2,7;4,3;33,4;6,8;5,2;1,9;2,4;0,9;-14,3;13170;35390;2,7
90010;41420;89511;22300;51,8;18,6;28,8;22,7;22,2;17,4;12,3;11,2;5,8;36,2;73,8;66,3;3,2;4,3;28,7;7,1;6,5;2,1;3,0;1,4;-16,1;11250;39640;3,5
90033;8180;18179;24650;57,1;11,7;s;11,2;13,8;11,1;10,5;s;5,6;27,3;80,8;74,1;4,1;2,6;26,6;4,6;3,9;1,4;1,7;0,8;-15,9;13350;43280;3,2
