CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
334;42684;95455;22900;51,9;12,0;16,9;12,9;12,8;11,7;10,1;11,7;8,0;24,0;68,9;59,7;3,5;5,7;33,3;7,9;4,5;1,7;2,1;0,7;-14,6;13070;36440;2,8
335;67551;151736;21850;46,8;15,7;22,9;17,4;17,0;15,6;12,3;13,4;9,1;29,6;70,1;61,1;3,2;5,8;29,5;8,8;6,0;2,0;2,9;1,1;-14,4;11880;36040;3,0
336;80513;171360;25350;59,8;8,6;13,0;9,9;9,2;9,0;6,9;7,2;5,0;16,8;66,0;56,8;2,9;6,3;37,0;11,6;3,2;1,2;1,5;0,5;-17,8;14530;43140;3,0
341;153422;320897;20120;41,2;22,9;34,7;28,7;26,9;23,3;17,0;16,1;12,2;40,1;58,9;48,2;3,7;7,0;36,6;10,2;8,1;2,3;4,1;1,7;-13,8;10360;34740;3,4
342;62755;146396;23380;50,4;14,1;24,8;16,3;14,6;13,6;11,4;12,1;8,4;28,7;71,8;61,1;3,2;7,5;28,9;10,4;5,3;1,9;2,4;1,0;-16,4;12300;40720;3,3
343;320521;665174;22370;51,0;18,8;31,2;19,9;21,1;18,4;14,7;12,4;7,2;32,4;72,3;61,9;3,6;6,8;28,1;9,9;6,6;1,9;3,2;1,5;-16,9;11030;40640;3,7
351;79006;186121;22540;47,3;9,3;12,8;9,6;9,9;8,1;7,3;10,9;5,0;21,7;74,5;66,5;2,5;5,5;25,5;8,5;5,1;2,3;2,0;0,8;-13,6;14100;34820;2,5
352;44287;105534;22750;48,7;9,3;14,5;10,0;9,1;8,4;7,0;11,7;5,6;22,7;76,9;69,1;2,9;4,9;24,8;6,7;5,2;2,4;2,0;0,8;-13,6;14110;35070;2,5
353;265474;592589;24490;56,9;11,7;23,4;13,3;12,2;9,6;7,4;7,0;5,0;27,2;80,4;72,7;2,8;4,9;23,1;8,2;5,2;1,9;2,2;1,1;-16,9;13130;41230;3,1
354;82148;173395;23340;51,7;10,2;14,3;11,7;10,6;10,6;8,2;9,1;5,7;21,1;62,9;54,3;2,7;5,9;34,9;14,0;4,2;1,6;1,9;0,7;-16,0;13770;39840;2,9
361;14446;28614;20560;40,5;16,3;21,3;19,1;18,0;16,4;13,9;14,7;11,7;30,2;56,1;46,2;2,5;7,4;42,6;7,5;6,1;1,7;3,3;1,1;-12,3;12030;32700;2,7
362;59219;119717;21440;46,6;15,5;26,5;20,6;18,5;14,3;10,7;10,4;6,9;33,9;63,4;56,0;2,5;4,9;36,9;7,0;6,4;1,9;3,2;1,3;-13,7;12030;34400;2,9
363;13466;26424;20880;41,3;16,5;19,1;21,9;16,3;15,8;13,8;17,6;12,5;31,5;57,4;48,1;2,7;6,6;41,8;8,0;5,3;1,5;2,8;1,0;-12,5;11800;33320;2,8
364;15238;30987;21610;47,0;13,3;23,5;16,3;14,2;13,0;10,5;9,7;7,3;30,0;64,9;55,7;3,2;6,0;35,5;7,3;5,7;1,7;2,9;1,1;-13,4;12740;34320;2,7
371;46001;103290;22530;48,4;11,6;15,9;13,0;12,3;10,5;9,6;11,8;7,0;26,7;69,5;61,4;2,7;5,4;32,1;7,5;4,8;1,9;2,1;0,8;-13,9;13300;35870;2,7
372;170329;359786;23570;54,9;13,7;25,0;16,4;15,0;12,7;9,4;8,2;5,0;29,3;72,8;65,4;2,8;4,6;30,2;8,1;5,4;1,8;2,4;1,2;-16,5;12440;40570;3,3
373;52343;113966;22600;49,3;11,1;17,0;13,0;11,1;11,1;8,9;10,1;6,3;25,7;67,9;59,6;2,9;5,4;33,8;7,8;4,6;1,8;2,0;0,8;-14,1;13430;36440;2,7
381;320855;702152;24640;58,3;12,4;22,7;14,5;13,7;11,2;8,6;8,7;5,0;26,6;76,0;68,8;2,7;4,5;27,4;9,3;4,5;1,7;1,9;0,9;-17,2;12910;42370;3,3
382;124370;304578;23830;55,4;10,7;15,0;12,5;12,1;9,8;7,7;8,3;5,0;25,3;78,7;71,6;3,0;4,1;24,5;7,2;4,8;2,3;1,7;0,8;-15,2;13580;38630;2,8
383;89947;214566;23830;54,6;11,7;17,4;13,5;13,3;10,1;9,1;9,8;5,7;26,9;75,0;67,7;2,9;4,4;26,9;8,6;4,7;2,1;1,8;0,8;-15,2;13180;38790;2,9
391;47492;102448;22660;50,4;12,2;17,6;14,5;13,9;11,5;9,5;9,7;6,1;27,7;68,0;60,3;2,3;5,4;33,5;7,7;5,2;1,9;2,4;0,9;-14,4;13090;36470;2,8
392;48257;101250;22950;51,0;11,8;16,7;14,5;13,4;10,7;9,2;10,2;6,4;25,9;68,1;59,8;2,6;5,7;34,0;7,8;4,6;1,7;2,0;0,9;-14,5;13210;37680;2,9
393;21334;47102;25170;57,7;10,9;14,2;11,1;12,6;10,4;9,3;9,1;5,2;23,9;81,0;74,5;3,4;3,1;25,5;6,7;3,5;1,3;1,5;0,7;-16,7;13480;46930;3,5
401;112163;242599;23080;51,4;11,5;17,6;13,4;12,4;11,6;9,0;9,8;6,8;22,5;65,9;56,1;3,5;6,3;34,4;10,2;4,4;1,5;2,1;0,8;-14,9;13320;37870;2,8
402;81267;172538;22530;50,3;12,0;18,0;13,8;14,1;11,8;9,1;10,7;6,5;25,4;63,9;55,3;2,8;5,8;37,2;8,1;4,9;1,7;2,3;0,9;-14,1;13110;36140;2,8
411;67211;148979;23080;54,4;13,5;21,6;18,2;16,5;12,1;8,4;7,5;5,0;32,0;70,0;62,5;2,7;4,8;32,3;7,3;5,5;2,1;2,4;1,0;-15,1;12540;37890;3,0
412;31638;66952;22320;49,5;12,4;19,1;16,1;14,7;12,3;9,3;8,0;6,5;29,0;65,7;56,8;2,7;6,2;35,6;8,0;4,9;1,8;2,2;0,9;-14,2;13010;36450;2,8
413;50472;106289;21940;48,0;13,3;18,9;17,6;15,2;13,1;9,8;10,0;7,7;29,5;62,7;55,4;2,7;4,6;38,6;7,2;5,1;1,8;2,4;0,9;-13,6;12730;35040;2,8
421;80069;183932;23530;51,4;9,3;13,7;10,2;9,5;8,5;7,7;9,5;5,6;21,7;72,3;64,5;2,3;5,5;28,9;9,7;4,2;1,9;1,6;0,7;-15,1;14120;37900;2,7
422;72428;155172;21770;45,7;13,7;21,8;16,0;16,1;13,3;10,8;8,4;6,7;29,9;65,7;58,6;2,5;4,6;33,4;9,1;5,6;2,1;2,4;1,1;-13,8;12520;35110;2,8
423;181930;401255;21240;46,0;19,5;30,7;23,4;23,5;18,5;12,9;12,1;6,7;37,0;69,1;61,5;3,1;4,5;30,3;7,4;7,5;2,6;3,3;1,6;-14,3;11030;36070;3,3
431;21803;44003;20840;41,2;16,0;20,1;17,7;18,0;16,0;13,4;14,9;11,5;30,4;59,9;50,1;3,0;6,8;37,6;8,7;6,1;1,8;3,2;1,1;-12,3;12050;33140;2,8
432;44384;92692;22020;45,8;13,2;19,4;14,0;14,5;12,8;10,6;12,8;7,8;27,4;64,7;54,8;2,4;7,5;34,1;9,0;5,9;1,9;2,9;1,1;-13,7;12810;35250;2,8
433;37483;85775;22830;47,8;9,4;12,2;9,6;9,0;9,2;8,3;10,9;6,2;21,2;70,1;61,7;2,6;5,8;29,4;9,7;4,6;2,1;1,8;0,7;-13,8;14080;35810;2,5
442;374097;828108;24700;58,1;11,2;19,5;12,2;11,6;10,2;8,3;7,7;5,0;25,9;80,5;72,6;3,1;4,8;23,2;8,5;4,9;1,8;2,1;1,0;-17,1;13370;41640;3,1
443;163297;354774;23680;55,0;9,8;15,5;11,5;10,4;9,9;7,7;7,3;5,0;23,1;66,1;59,0;2,8;4,3;35,5;9,5;4,4;1,7;1,9;0,8;-15,5;13930;38480;2,8
445;93354;230049;23060;49,8;9,3;14,3;9,1;9,1;8,6;7,8;12,2;5,9;23,5;77,8;70,3;2,7;4,8;24,1;7,1;5,1;2,5;1,9;0,7;-14,1;14110;35860;2,5
451;76206;167485;21610;49,4;16,9;24,2;22,6;21,1;16,1;11,3;9,6;8,2;35,8;65,7;58,0;3,1;4,6;34,8;7,3;6,3;2,3;2,8;1,2;-14,1;11570;35230;3,0
452;191126;435125;23800;58,1;13,0;20,9;16,0;15,2;11,8;8,6;6,9;5,0;28,8;75,4;68,9;2,6;3,9;28,3;7,5;5,1;2,1;2,0;1,0;-16,3;12750;39530;3,1
453;26231;61377;22660;52,2;11,9;13,8;14,7;13,9;11,1;9,1;8,4;6,5;28,1;73,7;65,7;2,8;5,2;28,7;6,8;5,0;2,3;1,9;0,8;-14,2;13200;35660;2,7
461;32929;66278;22080;47,0;15,5;25,2;18,7;18,2;16,2;11,8;12,5;9,5;31,6;58,0;48,2;2,8;7,0;41,5;9,2;5,4;1,6;2,8;1,0;-14,1;12090;36560;3,0
462;25641;52197;22130;48,3;14,7;20,9;16,3;17,2;13,4;11,8;14,8;10,5;27,8;60,9;51,6;2,7;6,6;38,7;9,6;4,8;1,5;2,4;0,9;-14,0;12290;35920;2,9
463;21815;42822;21400;44,9;15,9;20,9;17,6;18,4;17,4;12,6;15,1;12,1;28,1;54,9;44,8;2,8;7,3;44,0;10,2;4,7;1,4;2,4;0,9;-13,8;11900;36280;3,0
471;52052;109987;22100;48,7;16,1;23,1;17,8;18,0;16,0;12,8;13,5;7,8;31,6;69,0;60,4;2,9;5,7;31,2;8,6;6,2;2,0;2,9;1,3;-15,0;11910;37250;3,1
472;36457;76170;20570;41,3;18,2;23,7;20,5;20,3;17,7;15,0;17,4;12,0;32,9;61,5;52,1;2,7;6,7;36,3;9,4;6,2;2,0;3,0;1,2;-13,4;11470;34190;3,0
473;39989;83109;20160;40,0;19,8;27,4;24,2;22,8;20,5;15,2;16,4;12,9;36,3;57,2;47,9;3,0;6,3;39,5;9,6;6,7;2,1;3,3;1,3;-13,0;11140;33690;3,0
474;16707;34411;21210;42,5;17,0;23,2;18,7;17,7;16,8;14,2;17,7;10,8;33,3;60,4;50,5;2,9;7,0;37,6;10,2;5,4;1,7;2,6;1,1;-13,6;11700;35270;3,0
481;6112;12106;19840;40,2;23,0;s;25,1;29,2;25,1;17,2;18,5;17,5;35,5;58,0;44,7;3,2;10,1;38,1;9,3;6,9;1,8;3,8;1,3;-12,3;10230;34080;3,3
482;27916;58127;21930;47,0;13,9;18,6;14,4;14,7;13,2;11,4;15,7;9,4;24,9;65,5;55,9;2,1;7,5;33,3;9,6;5,3;1,8;2,6;0,9;-13,7;12550;34890;2,8
491;165740;369492;23270;52,2;12,4;23,0;14,9;13,5;10,6;8,5;7,6;5,0;27,4;73,5;65,5;2,8;5,2;28,5;8,0;5,6;2,1;2,3;1,2;-15,6;12940;39070;3,0
492;95131;225496;22290;46,8;9,1;12,7;9,8;10,1;8,5;6,6;8,5;5,0;24,2;73,7;66,3;2,5;4,9;26,9;7,9;4,9;2,4;1,7;0,8;-13,4;14170;34280;2,4
493;57085;127719;21490;44,1;13,3;21,7;15,5;13,5;12,3;10,8;11,2;7,1;28,4;66,6;58,0;2,8;5,8;33,2;7,9;5,6;2,2;2,4;1,0;-13,3;12800;34300;2,7
494;28942;70149;21720;43,5;11,0;14,9;12,4;10,7;9,7;8,8;12,2;6,3;24,0;74,0;65,9;2,8;5,3;26,3;6,6;5,8;2,8;2,1;0,9;-12,7;13480;33040;2,5
501;63948;133382;22270;47,4;11,8;15,1;13,3;12,8;12,0;9,6;11,3;7,4;22,5;62,1;52,6;2,3;7,2;38,0;9,4;4,6;1,6;2,1;0,9;-14,1;13230;36320;2,7
502;86763;186512;23230;52,9;11,0;15,6;12,1;12,2;10,1;9,0;10,0;5,0;22,7;71,2;64,2;2,2;4,8;31,6;6,8;5,2;1,8;2,4;1,0;-14,8;13490;37120;2,8
503;32922;69264;21640;45,9;13,0;15,5;15,8;14,9;13,0;9,9;11,6;8,4;25,3;61,7;50,8;2,3;8,6;38,8;8,5;5,0;1,8;2,3;0,9;-14,0;12890;35510;2,8
504;46178;99960;22040;46,4;12,1;17,0;13,5;12,9;12,0;9,4;10,4;6,1;25,3;68,0;60,3;2,1;5,6;32,3;7,7;5,4;2,0;2,4;1,0;-13,4;13110;34360;2,6
511;45586;100231;22440;51,5;14,3;25,9;19,6;15,5;11,7;9,4;8,3;5,0;29,4;71,3;63,0;2,5;5,8;29,7;7,8;5,8;2,2;2,5;1,1;-14,6;12410;36650;3,0
512;52470;113557;23580;55,3;11,8;18,0;14,7;13,1;11,3;8,7;8,0;5,9;25,9;71,9;57,0;2,5;12,4;28,6;12,8;4,1;1,6;1,8;0,7;-17,4;13200;40660;3,1
