CODGEO;NBMENFISC21;NBPERSMENFISC21;MED21;PIMP21;TP6021;TP60AGE121;TP60AGE221;TP60AGE321;TP60AGE421;TP60AGE521;TP60AGE621;TP60TOL121;TP60TOL221;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PPAT21;PPSOC21;PPFAM21;PPMINI21;PPLOGT21;PIMPOT21;D121;D921;RD21
246000764;19492;44065;30680;73,4;6,5;s;8,2;7,0;6,0;5,3;5,5;5,0;15,4;82,5;73,9;2,6;6,0;26,6;12,5;2,1;0,9;0,8;0,4;-23,7;15950;57070;3,6
246000772;9448;21820;23240;55,1;10,9;21,9;12,7;11,9;10,5;8,0;s;5,0;27,6;72,7;68,0;2,6;2,1;31,0;5,6;5,1;2,0;2,2;0,9;-14,4;13530;35690;2,6
246000848;13085;30756;21780;48,3;13,4;20,5;15,0;14,3;12,2;11,3;10,3;7,5;30,1;71,9;62,7;2,5;6,7;28,7;6,9;5,9;2,5;2,5;0,9;-13,4;12800;33860;2,6
246000855;8899;21614;24110;57,9;8,9;s;9,9;8,8;8,3;7,1;s;5,5;23,7;77,5;69,8;2,7;5,0;27,1;7,1;4,2;2,0;1,6;0,6;-15,9;14260;39040;2,7
246000871;22421;56180;25250;63,1;7,4;10,9;8,0;7,4;7,2;6,0;6,6;5,0;17,6;83,1;76,8;2,9;3,4;22,7;6,3;4,0;2,0;1,4;0,6;-16,1;15050;39470;2,6
246000897;7167;17754;25410;62,1;6,6;s;6,7;7,1;6,2;s;s;5,0;15,4;80,4;73,2;2,5;4,7;25,3;6,7;3,6;1,8;1,3;0,5;-16,0;15520;38960;2,5
246000913;7364;17983;22920;54,1;10,7;s;14,0;11,4;9,2;7,8;s;6,1;27,1;73,7;66,6;2,8;4,3;28,8;6,7;5,0;2,3;2,0;0,7;-14,2;13550;34970;2,6
246000921;14164;34418;24540;60,9;10,5;13,3;12,6;13,0;9,1;7,0;8,7;5,0;24,6;78,9;72,8;2,9;3,2;26,9;5,5;4,8;2,0;2,0;0,8;-16,1;13660;38940;2,9
246100390;2419;5479;21350;43,9;14,0;s;s;15,5;s;s;s;11,4;24,4;68,6;56,4;2,9;9,3;31,5;8,2;4,7;2,1;1,9;0,7;-13,0;12700;33920;2,7
246100663;24575;51599;21940;48,7;16,6;29,4;23,3;19,8;16,6;9,6;8,0;5,0;35,4;61,7;55,1;2,1;4,5;34,8;11,4;6,3;2,0;3,0;1,3;-14,2;11520;35680;3,1
246200299;51104;122103;19420;39,4;22,1;32,4;24,4;23,5;21,5;17,2;16,0;8,1;38,5;71,1;64,8;3,3;3,0;27,2;3,5;10,2;3,5;4,7;2,0;-12,0;11040;31150;2,8
246200364;96541;224486;19010;38,1;23,8;34,4;28,5;26,0;22,2;17,9;15,3;8,2;39,0;69,2;62,7;3,1;3,4;28,4;4,0;10,6;3,3;5,1;2,2;-12,2;10750;31300;2,9
246200380;9003;22043;21790;46,6;14,6;s;17,6;14,7;12,9;12,4;15,3;7,8;30,9;74,3;64,7;2,5;7,1;26,7;8,2;5,5;2,3;2,3;0,9;-14,7;12480;36760;2,9
246200729;49417;107101;20230;43,2;20,1;35,7;26,2;22,1;17,4;13,9;12,4;6,4;35,7;66,0;58,2;2,9;4,9;31,9;8,5;8,3;2,4;4,0;1,9;-14,7;11310;35230;3,1
