"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"GEO";"Géographie";"189";"Bressuire";"AAV2020"
"GEO";"Géographie";"237";"Pont-Audemer";"AAV2020"
"GEO";"Géographie";"252";"Nogent-le-Rotrou";"AAV2020"
"GEO";"Géographie";"207";"Pontivy";"AAV2020"
"GEO";"Géographie";"221";"Noeux-les-Mines";"AAV2020"
"GEO";"Géographie";"171";"Flers";"AAV2020"
"GEO";"Géographie";"269";"Miramas";"AAV2020"
"GEO";"Géographie";"190";"Pierrelatte";"AAV2020"
"GEO";"Géographie";"238";"Trouville-sur-Mer";"AAV2020"
"GEO";"Géographie";"253";"Oloron-Sainte-Marie";"AAV2020"
"GEO";"Géographie";"208";"Vierzon";"AAV2020"
"GEO";"Géographie";"222";"Beaucaire";"AAV2020"
"GEO";"Géographie";"285";"Saint-Jean-de-Maurienne";"AAV2020"
"GEO";"Géographie";"270";"Pithiviers";"AAV2020"
"GEO";"Géographie";"239";"Autun";"AAV2020"
"GEO";"Géographie";"286";"Belley";"AAV2020"
"GEO";"Géographie";"191";"Sablé-sur-Sarthe";"AAV2020"
"GEO";"Géographie";"172";"Fougères";"AAV2020"
"GEO";"Géographie";"254";"Cosne-Cours-sur-Loire";"AAV2020"
"GEO";"Géographie";"209";"Château-Thierry";"AAV2020"
"GEO";"Géographie";"223";"Châteaudun";"AAV2020"
"GEO";"Géographie";"271";"Biars-sur-Cère - Saint-Céré";"AAV2020"
"GEO";"Géographie";"240";"Remiremont";"AAV2020"
"GEO";"Géographie";"192";"Saint-Hilaire-de-Riez";"AAV2020"
"GEO";"Géographie";"255";"Ploërmel";"AAV2020"
"GEO";"Géographie";"210";"Montbrison";"AAV2020"
"GEO";"Géographie";"287";"Fourmies";"AAV2020"
"GEO";"Géographie";"224";"Millau";"AAV2020"
"GEO";"Géographie";"173";"Les Herbiers";"AAV2020"
"GEO";"Géographie";"272";"Pleyben - Châteaulin";"AAV2020"
"GEO";"Géographie";"241";"Parthenay";"AAV2020"
"GEO";"Géographie";"304";"L'Isle-sur-la-Sorgue";"AAV2020"
"GEO";"Géographie";"256";"Bruay-la-Buissière";"AAV2020"
"GEO";"Géographie";"225";"Thiers";"AAV2020"
"GEO";"Géographie";"242";"Noyon";"AAV2020"
"GEO";"Géographie";"288";"La Flèche";"AAV2020"
"GEO";"Géographie";"305";"Carhaix-Plouguer";"AAV2020"
"GEO";"Géographie";"273";"Chauny";"AAV2020"
"GEO";"Géographie";"257";"Guingamp";"AAV2020"
"GEO";"Géographie";"226";"Figeac";"AAV2020"
"GEO";"Géographie";"243";"Ambérieu-en-Bugey";"AAV2020"
"GEO";"Géographie";"258";"Segré-en-Anjou Bleu";"AAV2020"
"GEO";"Géographie";"227";"La Ferté-Bernard";"AAV2020"
"GEO";"Géographie";"274";"Pont-à-Mousson";"AAV2020"
"GEO";"Géographie";"244";"Château-Gontier-sur-Mayenne";"AAV2020"
"GEO";"Géographie";"289";"Landivisiau";"AAV2020"
"GEO";"Géographie";"259";"Luxeuil-les-Bains";"AAV2020"
"GEO";"Géographie";"228";"Châteaubriant";"AAV2020"
"GEO";"Géographie";"245";"Villefranche-de-Rouergue";"AAV2020"
"GEO";"Géographie";"275";"Apt";"AAV2020"
"GEO";"Géographie";"260";"Langres";"AAV2020"
"GEO";"Géographie";"290";"Briançon";"AAV2020"
"GEO";"Géographie";"306";"Gaillac";"AAV2020"
"GEO";"Géographie";"246";"Friville-Escarbotin";"AAV2020"
"GEO";"Géographie";"229";"Loudéac";"AAV2020"
"GEO";"Géographie";"261";"Hendaye (partie française)";"AAV2020"
"GEO";"Géographie";"291";"Lure";"AAV2020"
"GEO";"Géographie";"276";"Gray";"AAV2020"
"GEO";"Géographie";"247";"Étaples - Le Touquet-Paris-Plage";"AAV2020"
"GEO";"Géographie";"322";"Freyming-Merlebach (partie française)";"AAV2020"
"GEO";"Géographie";"307";"Neufchâteau";"AAV2020"
"GEO";"Géographie";"292";"Paimpol";"AAV2020"
"GEO";"Géographie";"262";"L'Aigle";"AAV2020"
"GEO";"Géographie";"323";"Saint-Flour";"AAV2020"
"GEO";"Géographie";"277";"Péronne";"AAV2020"
"GEO";"Géographie";"293";"Saint-Pol-sur-Ternoise";"AAV2020"
"GEO";"Géographie";"308";"Hirson";"AAV2020"
"GEO";"Géographie";"263";"Aire-sur-la-Lys";"AAV2020"
"GEO";"Géographie";"278";"Mende";"AAV2020"
"GEO";"Géographie";"294";"Chinon";"AAV2020"
"GEO";"Géographie";"264";"Romilly-sur-Seine";"AAV2020"
"GEO";"Géographie";"309";"Ussel";"AAV2020"
"GEO";"Géographie";"279";"Avallon";"AAV2020"
"GEO";"Géographie";"324";"Brioude";"AAV2020"
"GEO";"Géographie";"295";"Saint-Marcellin";"AAV2020"
"GEO";"Géographie";"341";"Bollène";"AAV2020"
"GEO";"Géographie";"265";"Bayeux";"AAV2020"
"GEO";"Géographie";"280";"Creutzwald";"AAV2020"
"GEO";"Géographie";"310";"Orthez";"AAV2020"
"GEO";"Géographie";"342";"Crest";"AAV2020"
"GEO";"Géographie";"296";"Roscoff - Saint-Pol-de-Léon";"AAV2020"
"GEO";"Géographie";"266";"Biscarrosse";"AAV2020"
"GEO";"Géographie";"281";"Foix";"AAV2020"
"GEO";"Géographie";"311";"Luçon";"AAV2020"
"GEO";"Géographie";"297";"Vittel - Contrexéville";"AAV2020"
"GEO";"Géographie";"343";"Sisteron";"AAV2020"
"GEO";"Géographie";"325";"Uzès";"AAV2020"
"GEO";"Géographie";"282";"Lourdes";"AAV2020"
"GEO";"Géographie";"298";"Porto-Vecchio";"AAV2020"
"GEO";"Géographie";"344";"Bourg-Saint-Maurice";"AAV2020"
"GEO";"Géographie";"312";"Lannemezan";"AAV2020"
"GEO";"Géographie";"359";"Vaison-la-Romaine";"AAV2020"
"GEO";"Géographie";"299";"Yvetot";"AAV2020"
"GEO";"Géographie";"283";"Tergnier";"AAV2020"
"GEO";"Géographie";"360";"Pineuilh";"AAV2020"
"GEO";"Géographie";"345";"Pézenas";"AAV2020"
"GEO";"Géographie";"326";"Joigny";"AAV2020"
"GEO";"Géographie";"313";"Morteau";"AAV2020"
"GEO";"Géographie";"300";"Saint-Amand-Montrond";"AAV2020"
"GEO";"Géographie";"284";"Saint-Girons";"AAV2020"
"GEO";"Géographie";"346";"Verneuil d'Avre et d'Iton";"AAV2020"
"GEO";"Géographie";"361";"Nérac";"AAV2020"
"GEO";"Géographie";"314";"Bédarieux";"AAV2020"
"GEO";"Géographie";"327";"Limoux";"AAV2020"
"GEO";"Géographie";"301";"Le Luc";"AAV2020"
